1224,113203.0
1807140,0.0
225057,6.0
225058,0.0
119977,68.0
33059,27.0
1232575,1.0
160808,130.0
920,24.0
872330,22.0
930,57.0
225059,0.0
119979,0.0
929,116.0
28211,56672.0
204458,0.0
76892,224.0
76890,88.0
347481,50.0
76891,23.0
78587,21.0
1282361,25.0
1282360,29.0
1282362,31.0
1282363,26.0
41275,40.0
1125965,17.0
370977,15.0
74311,23.0
293,9.0
588932,9.0
172043,6.0
391600,6.0
1495854,2.0
74313,14.0
75,190.0
69395,84.0
88688,41.0
1144304,28.0
1157689,1.0
1157680,1.0
1157681,7.0
366602,40.0
1449049,34.0
1298862,24.0
155892,56.0
131546,0.0
158749,3.0
20,0.0
284016,111.0
81440,0.0
1382303,65.0
240236,0.0
240237,12.0
47925,0.0
710799,6.0
710800,1.0
710801,1.0
710804,11.0
710805,1.0
710808,30.0
710809,14.0
1240598,1.0
1921002,0.0
1777752,0.0
84646,0.0
84647,12.0
1521255,0.0
91604,5.0
244582,13.0
44746,0.0
44747,0.0
49893,3.0
1169117,1.0
204454,4.0
86106,2.0
1921007,0.0
28905,0.0
244581,3.0
597358,0.0
597359,0.0
454159,0.0
454162,36.0
362534,0.0
1331809,0.0
288021,0.0
288022,29.0
1191478,0.0
1191479,0.0
162171,0.0
1124597,92.0
255473,0.0
255474,0.0
208215,2.0
208216,17.0
1247963,32.0
54526,8.0
1655514,0.0
198251,4.0
1002672,6.0
198252,16.0
1655516,0.0
684719,2.0
744985,7.0
939306,2.0
939316,1.0
939324,1.0
939346,3.0
356,30467.0
255475,3.0
182269,35.0
182270,8.0
651183,46.0
414371,5.0
370622,26.0
401562,27.0
217510,0.0
217511,20.0
293088,5.0
293089,30.0
686597,29.0
772,0.0
773,32.0
388640,2.0
774,3.0
155194,1.0
56426,2.0
928210,1.0
33045,1.0
38323,2.0
92181,1.0
291176,1.0
803,1.0
165694,1.0
1468418,1.0
515256,3.0
373638,12.0
45404,212.0
532,17.0
533,91.0
231434,45.0
28209,0.0
1211115,168.0
184923,45.0
133552,222.0
663610,141.0
120652,0.0
371856,0.0
371857,2.0
199596,122.0
1143004,0.0
876270,159.0
41294,27797.0
1033,438.0
151414,228.0
56946,191.0
1034,72.0
1035,173.0
666684,89.0
1320552,1.0
1297860,3.0
1293051,2.0
1429916,488.0
85413,61.0
1125973,271.0
1502851,184.0
1510531,118.0
374,20598.0
